State,City,Season,Average,Std dev,,
NSW,Sydney,Autumn,16,22.81,4.34,1.124103462
NSW,Sydney,Autumn,17,21.89,4.09,1.078940025
NSW,Sydney,Autumn,18,21.12,3.78,1.041169892
NSW,Sydney,Autumn,19,20.75,3.74,1.022793784
NSW,Sydney,Autumn,20,20.49,3.65,1.010096591
NSW,Sydney,Autumn,21,20.2,3.65,0.995524284
NSW,Sydney,Autumn,22,19.64,3.6,0.968201209
NSW,Sydney,Autumn,23,19.17,3.65,0.944949807
NSW,Sydney,Spring,0,16.65,2.94,0.913934244
NSW,Sydney,Spring,1,16.19,3.09,0.889018089
NSW,Sydney,Spring,2,15.84,3.15,0.869712593
NSW,Sydney,Spring,3,15.55,3.14,0.853845888
NSW,Sydney,Spring,4,15.38,3.29,0.844494789
NSW,Sydney,Spring,5,15.21,3.44,0.835083359
NSW,Sydney,Spring,6,15.71,3.84,0.862533361
NSW,Sydney,Spring,7,16.61,3.88,0.911943365
NSW,Sydney,Spring,8,17.89,3.76,0.982348096
NSW,Sydney,Spring,9,18.95,3.73,1.040264584
NSW,Sydney,Spring,10,19.91,4.07,1.093294368
NSW,Sydney,Spring,11,20.65,4.28,1.133594591
NSW,Sydney,Spring,12,20.9,4.32,1.147349756
NSW,Sydney,Spring,13,21.14,4.46,1.160586087
NSW,Sydney,Spring,14,21.08,4.36,1.157545472
NSW,Sydney,Spring,15,20.84,4.31,1.144212613
NSW,Sydney,Spring,16,20.37,4.09,1.118270853
NSW,Sydney,Spring,17,19.69,4.02,1.081168103
NSW,Sydney,Spring,18,19.09,3.7,1.048167771
NSW,Sydney,Spring,19,18.68,3.6,1.025410077
NSW,Sydney,Spring,20,18.3,3.24,1.004730405
NSW,Sydney,Spring,21,18.05,3.1,0.991156228
NSW,Sydney,Spring,22,17.44,2.8,0.957311281
NSW,Sydney,Spring,23,17.01,2.79,0.934024026
NSW,Sydney,Summer,0,21.65,1.97,0.925397001
NSW,Sydney,Summer,1,21.31,1.98,0.910910214
NSW,Sydney,Summer,2,21.09,2.03,0.901600671
NSW,Sydney,Summer,3,20.88,2.14,0.892386124
NSW,Sydney,Summer,4,20.6,2.21,0.880416713
NSW,Sydney,Summer,5,20.63,2.23,0.882079131
NSW,Sydney,Summer,6,21.14,2.3,0.903595573
NSW,Sydney,Summer,7,22.14,2.41,0.946533462
NSW,Sydney,Summer,8,23.27,2.6,0.994601099
