date,hour,minute,temp,demand,spot
8/1/18,10,30,32.13,10390.69,91.44
8/1/18,11,0,32.03,10614.45,99.43
8/1/18,11,30,32.03,10748.03,95.23
8/1/18,12,0,33.2,10882.88,94.34
8/1/18,12,30,33.2,11169.31,103.01
8/1/18,13,0,35.15,11387.35,108.01
8/1/18,13,30,35.15,11694.5,113.84
8/1/18,14,0,33.56,11735.67,108.22
8/1/18,14,30,33.56,11937.04,100.07
8/1/18,15,0,33.93,12087.21,105.34
8/1/18,15,30,33.93,12088.8,98.47
8/1/18,16,0,33.75,12074.11,104.75
8/1/18,16,30,33.75,11923.99,100.84
8/1/18,17,0,31.51,11658.7,101.19
8/1/18,17,30,31.51,11237.98,90.7
8/1/18,18,0,30.39,11119.9,91.8
8/1/18,18,30,30.39,10819.54,88.7
8/1/18,19,0,29.63,10576.93,89.24
8/1/18,19,30,29.63,10476.65,91.5
8/1/18,20,0,26.11,10344.17,91.14
8/1/18,20,30,26.11,10099.21,90.45
8/1/18,21,0,25.94,9751.26,87.39
8/1/18,21,30,25.94,9523.54,87.3
8/1/18,22,0,26.48,9115.1,77.91
8/1/18,22,30,26.48,8919.67,84.64
8/1/18,23,0,24.53,8563.93,82.39
8/1/18,23,30,24.53,8240.65,84.84
9/1/18,0,0,23.86,8004.25,80.26
9/1/18,0,30,23.86,7788.11,78.68
9/1/18,1,0,25.25,7562.77,75.6
9/1/18,1,30,25.25,7275.13,76.81
9/1/18,2,0,23.41,7123.09,75.82
9/1/18,2,30,23.41,7018.4,68.66
9/1/18,3,0,22.87,6957.36,66.49
9/1/18,3,30,22.87,6928.04,59.73
9/1/18,4,0,22.8,6881.68,56.65
9/1/18,4,30,22.8,6979.35,55.27
9/1/18,5,0,21.61,7108.59,58.11
9/1/18,5,30,21.61,7600.49,56.26
9/1/18,6,0,22.24,7953.28,55.64
9/1/18,6,30,22.24,8332.46,64.28
9/1/18,7,0,23.48,8706.83,67.89
9/1/18,7,30,23.48,9084.45,69.02
9/1/18,8,0,25.09,9231.1,69.71
9/1/18,8,30,25.09,9315.93,69.03
9/1/18,9,0,26.39,9424.29,69.57
9/1/18,9,30,26.39,9519.54,72.21
9/1/18,10,0,27.03,9461.92,70.25
9/1/18,10,30,27.03,9478.62,72.46
9/1/18,11,0,28.69,9529.27,82.59
9/1/18,11,30,28.69,9466.53,84.29
9/1/18,12,0,29.84,9416.22,84.72
9/1/18,12,30,29.84,9617.96,83.84
9/1/18,13,0,31.73,9807.11,85.54
9/1/18,13,30,31.73,9845.16,83.83
9/1/18,14,0,31.87,9868.53,70.27
9/1/18,14,30,31.87,10105.37,75.87
9/1/18,15,0,32.1,10278.28,75.52
9/1/18,15,30,32.1,10366.95,75.02
9/1/18,16,0,31.23,10536.96,84.13
9/1/18,16,30,31.23,10633.95,88.33
9/1/18,17,0,29.01,10903.51,121.38
9/1/18,17,30,29.01,10695.83,103.05
9/1/18,18,0,27.96,10507.51,104.97
9/1/18,18,30,27.96,10175.39,79.35
9/1/18,19,0,24.38,9728.14,78.02
9/1/18,19,30,24.38,9455.42,72.85
9/1/18,20,0,24.33,9224.96,73.2
9/1/18,20,30,24.33,8911.79,76.25
9/1/18,21,0,23.79,8590.92,69.23
9/1/18,21,30,23.79,8454.11,70.54
9/1/18,22,0,23.13,8113.43,63.97
9/1/18,22,30,23.13,8024.88,70.13
9/1/18,23,0,21.94,7810.33,67.29
9/1/18,23,30,21.94,7635.8,70.14
10/1/18,0,0,21.16,7445.24,64.18
10/1/18,0,30,21.16,7274.84,61.3
10/1/18,1,0,21.53,7070.97,58.96
10/1/18,1,30,21.53,6743.85,56.62
10/1/18,2,0,20.69,6560.48,53.3
10/1/18,2,30,20.69,6463.16,55.18
10/1/18,3,0,20.39,6407.56,54.98
10/1/18,3,30,20.39,6394.4,58.77
10/1/18,4,0,20.15,6428.12,55.08
10/1/18,4,30,20.15,6587.03,59.19
10/1/18,5,0,19.77,6729.14,55.01
10/1/18,5,30,19.77,7066.99,61.49
10/1/18,6,0,20.34,7414.68,60.93
10/1/18,6,30,20.34,7732.38,65.77
10/1/18,7,0,21.78,8059.08,83.67
10/1/18,7,30,21.78,8302.72,81.56
10/1/18,8,0,22.91,8442.11,69.79
10/1/18,8,30,22.91,8534.47,78.67
10/1/18,9,0,24.59,8478.27,82.62
10/1/18,9,30,24.59,8521.85,84.59
10/1/18,10,0,25.93,8576.07,86.18
10/1/18,10,30,25.93,8513.57,86.67
10/1/18,11,0,27.11,8494.75,87.74
10/1/18,11,30,27.11,8452.41,87.84
10/1/18,12,0,27.9,8436.55,86.66
10/1/18,12,30,27.9,8474.76,83.5
10/1/18,13,0,28.28,8493.65,78.6
10/1/18,13,30,28.28,8515.47,77.86
10/1/18,14,0,29.29,8572.78,77.95
10/1/18,14,30,29.29,8629.35,80.25
10/1/18,15,0,29.23,8756.94,85.04
10/1/18,15,30,29.23,8825.94,75.78
10/1/18,16,0,29.75,8894.42,73.61
10/1/18,16,30,29.75,8899.02,74.53
10/1/18,17,0,28.5,8940.55,78.33
10/1/18,17,30,28.5,8811.03,73.43
10/1/18,18,0,27.31,8725.05,72.78
10/1/18,18,30,27.31,8566.31,70.53
10/1/18,19,0,27.15,8487.31,67.48
10/1/18,19,30,27.15,8481.25,72.36
10/1/18,20,0,24.96,8472.81,67.82
10/1/18,20,30,24.96,8291.41,63.09
10/1/18,21,0,23.4,8106.1,63.12
10/1/18,21,30,23.4,8014.38,58.49
10/1/18,22,0,21.78,7808.11,57.46
10/1/18,22,30,21.78,7774.41,63.85
10/1/18,23,0,21.77,7629.84,58.1
10/1/18,23,30,21.77,7440.22,59.69
11/1/18,0,0,21.43,7279.31,56.87
11/1/18,0,30,21.43,7090.21,63
11/1/18,1,0,20.65,6870.47,55.61
11/1/18,1,30,20.65,6554.16,55.66
11/1/18,2,0,20.99,6334.39,64.56
11/1/18,2,30,20.99,6287.94,61.63
11/1/18,3,0,20.64,6237.67,58.63
11/1/18,3,30,20.64,6260.34,61.47
11/1/18,4,0,19.85,6348,59.11
11/1/18,4,30,19.85,6521.91,63.36
11/1/18,5,0,20.43,6706.56,58.47
11/1/18,5,30,20.43,7067.41,58.14
11/1/18,6,0,20.89,7353.47,61.63
11/1/18,6,30,20.89,7720.45,61.97
11/1/18,7,0,21.5,8056.27,64.33
11/1/18,7,30,21.5,8233.79,59.28
11/1/18,8,0,23.74,8473.3,63.68
11/1/18,8,30,23.74,8608.74,66.24
11/1/18,9,0,25.19,8603.93,66.9
11/1/18,9,30,25.19,8709.97,68.95
11/1/18,10,0,26.25,8745.1,71.05
11/1/18,10,30,26.25,8762.81,71.3
11/1/18,11,0,27.84,8808.2,74.66
11/1/18,11,30,27.84,8828.91,76.76
11/1/18,12,0,28.57,8799.74,89.82
11/1/18,12,30,28.57,8856.18,91.66
11/1/18,13,0,27.03,8872.07,87.2
11/1/18,13,30,27.03,8918.06,87.83
11/1/18,14,0,29.43,8967.75,96.46
11/1/18,14,30,29.43,8993.58,95.62
11/1/18,15,0,30.11,9021.54,88.53
11/1/18,15,30,30.11,9114.5,94.53
11/1/18,16,0,29.53,9298.49,149.96
11/1/18,16,30,29.53,9346.24,83.59
11/1/18,17,0,28.97,9454.55,97.34
11/1/18,17,30,28.97,9319.6,95.28
11/1/18,18,0,28.34,9351.92,96.41
11/1/18,18,30,28.34,9221.7,89.73
11/1/18,19,0,27.88,9087.74,96.06
11/1/18,19,30,27.88,9034.36,93.97
11/1/18,20,0,25.76,9001.03,77.52
11/1/18,20,30,25.76,8744.78,69.32
11/1/18,21,0,24.86,8470.45,68.42
11/1/18,21,30,24.86,8432.69,74.52
11/1/18,22,0,23.73,8324.15,71.03
11/1/18,22,30,23.73,8267.08,89.66
11/1/18,23,0,23.73,8096.27,82.61
11/1/18,23,30,23.73,7901.34,73.45
12/1/18,0,0,22.97,7670.15,64.81
12/1/18,0,30,22.97,7517.11,78.78
12/1/18,1,0,22.48,7298.88,72.99
12/1/18,1,30,22.48,6994.12,63.95
12/1/18,2,0,22.2,6841.51,79.47
12/1/18,2,30,22.2,6701.65,82.19
12/1/18,3,0,21.83,6569.67,83.63
12/1/18,3,30,21.83,6596.08,83.54
12/1/18,4,0,21.33,6631.65,78.5
12/1/18,4,30,21.33,6786.44,68.68
12/1/18,5,0,21.67,6932.05,66.72
12/1/18,5,30,21.67,7395.42,63.15
12/1/18,6,0,21.99,7692.31,64.78
12/1/18,6,30,21.99,8083.25,75.33
12/1/18,7,0,23.88,8445.31,87.72
12/1/18,7,30,23.88,8701.44,84.75
12/1/18,8,0,25.76,8924.34,82.83
12/1/18,8,30,25.76,9091.42,81.02
12/1/18,9,0,27.53,9175.78,81.34
12/1/18,9,30,27.53,9272.22,84.74
12/1/18,10,0,29.6,9438.46,87.14
12/1/18,10,30,29.6,9416.9,86.54
12/1/18,11,0,30.69,9459.61,91.73
12/1/18,11,30,30.69,9402.07,84.19
12/1/18,12,0,32.16,9616.38,87.15
12/1/18,12,30,32.16,9863.27,91.81
12/1/18,13,0,34.23,10011.5,95.34
12/1/18,13,30,34.23,10231.73,100.41
12/1/18,14,0,33.37,10496.42,117.28
12/1/18,14,30,33.37,10716.54,123.52
12/1/18,15,0,33.21,10919.08,114.38
12/1/18,15,30,33.21,11093.44,117.35
12/1/18,16,0,34.6,11238.51,128
12/1/18,16,30,34.6,11333.28,120.38
12/1/18,17,0,32.26,11309.55,111.78
12/1/18,17,30,32.26,11090.93,103.45
12/1/18,18,0,30.24,10943.73,94.85
12/1/18,18,30,30.24,10725.58,94.7
12/1/18,19,0,30.2,10427.51,96.95
12/1/18,19,30,30.2,10297.65,98.98
12/1/18,20,0,28.36,10203.82,99.45
12/1/18,20,30,28.36,10037.23,93.83
12/1/18,21,0,26.91,9699.21,89.14
12/1/18,21,30,26.91,9584.71,87.72
12/1/18,22,0,28.38,9274.89,80.99
12/1/18,22,30,28.38,9071.08,83.63
12/1/18,23,0,25.91,8872.05,85.83
12/1/18,23,30,25.91,8532.92,75.86
13/1/18,0,0,25.36,8247.19,63.35
13/1/18,0,30,25.36,7992.38,65.78
13/1/18,1,0,25.93,7713.05,69.76
13/1/18,1,30,25.93,7247.51,66.62
13/1/18,2,0,24.36,7041.63,67.36
13/1/18,2,30,24.36,6886.88,67.68
13/1/18,3,0,24.11,6759.34,66.29
13/1/18,3,30,24.11,6698.31,61.45
13/1/18,4,0,24.65,6680.97,62.77
13/1/18,4,30,24.65,6727.34,58.67
13/1/18,5,0,23.36,6728.52,58.64
13/1/18,5,30,23.36,6868.55,59.56
13/1/18,6,0,23.51,6973.38,60.47
13/1/18,6,30,23.51,7249.75,66.89
13/1/18,7,0,24.98,7537.27,65.71
13/1/18,7,30,24.98,7847.98,66.29
13/1/18,8,0,26.13,8107.1,68.29
13/1/18,8,30,26.13,8438.88,75.83
13/1/18,9,0,28.36,8532.06,81.74
13/1/18,9,30,28.36,8722.35,85.65
13/1/18,10,0,29,8905.54,85.56
13/1/18,10,30,29,9052.04,88.76
13/1/18,11,0,29.64,9224.46,94.3
13/1/18,11,30,29.64,9284.29,87.92
13/1/18,12,0,29.37,9461.65,81.74
13/1/18,12,30,29.37,9538.88,75.69
13/1/18,13,0,28.23,9556.87,75.35
13/1/18,13,30,28.23,9550.27,76.47
13/1/18,14,0,29.91,9462.95,60.89
13/1/18,14,30,29.91,9524.51,57.24
13/1/18,15,0,30.23,9485.62,67.83
13/1/18,15,30,30.23,9504.64,70.24
